Надо брать	Текст сообщения	Дата	Время	Канал	Тайминг	Компания
	Сахалинэнерго Отчет МСФО Читать далее 👉 https://smartlab.news/i/202399 #SLEN	31.08.2026	2:32	Смарт Лаб	31.08.2026 2:32:00	
	ДЭК Отчет МСФО Читать далее 👉 https://smartlab.news/i/202400 #DVEC	31.08.2026	4:06	Смарт Лаб	31.08.2026 4:06:00	
Важно	⚠️🇷🇺#OZON Логистический центр OZON атакован в ростовской области. Возгорание потушено, пострадавших нет -- компания	31.08.2026	6:32	Market Twits	31.08.2026 6:32:00	
Не важно	mt в max 🗓КАЛЕНДАРЬ НА СЕГОДНЯ — 2026.08.31 🌎саммит ШОС в Бишкеке - день 1 🇬🇧Британия - нет торгов - Bank Holiday 🇨🇳КНР - Manufacturing/Services/Composite PMI (авг) - 04:30мск 🇩🇪Германия - потребинфляция (авг) - 15:00мск 🇷🇺пресс-конференция ЦБ РФ по проекту основных направлений единой государственной ДКП на 2027-2029гг 🇺🇸США - Chicago PMI (авг) - 16:45мск 🇺🇸США - Dallas Fed Mfg Business Index (авг) - 17:30мск 🇷🇺СД по дивилдендам: #BTBR попсовые отчетности: 🇷🇺МСФО: #AFLT #PRMD #DATA #GLRX	31.08.2026	6:50	Market Twits	31.08.2026 6:50:00	
Не важно	🌎#markets	31.08.2026	6:53	Market Twits	31.08.2026 6:53:00	
Не важно	🌎#fx USDCNY = 6.72 USDTRUB = 87.70	31.08.2026	6:54	Market Twits	31.08.2026 6:54:00	
Возможно	Логистический объект Ozon в Ростовской области попал под атаку БПЛА, возникшее небольшое возгорание сразу потушили #OZON Читать далее 👉 https://smartlab.news/i/202401 мы в max	31.08.2026	6:55	Смарт Лаб	31.08.2026 6:55:00	
Возможно	Сбербанк получил 3,7 тыс. заявок на реструктуризацию кредитов селлеров Wildberries и Ozon, одобренный объем составил ₽6,8 млрд — ТАСС #OZON Читать далее 👉 https://smartlab.news/i/202402 мы в max	31.08.2026	6:56	Смарт Лаб	31.08.2026 6:56:00	
Возможно	⚠️🇮🇷#иран #геополитика #ормуз #дедолларизация Впервые за месяц США и Иран обменялись ударами США ударили по острову Ларак. Иран ударил по военной базе США в Иордании и ОАЭ. Транзит через Ормузский пролив сократился до пяти судов в сутки, пишет Al Jazeera. МИД Ирана повторил, что Иран не откроет Ормузский пролив до выполнения своих требований. Бессент заявил, что США будут еженедельно вводить санкции для давления на Иран. Верховный лидер Ирана призвал к отказу иранской экономики от доллара США. Трамп угрожает разнести иранский нефтяной хаб на острове Харг.	31.08.2026	6:59	Market Twits	31.08.2026 6:59:00	
Не важно	⬆️🛢#нефть = +2% на фоне новой эскалации между США и Ираном	31.08.2026	7:04	Market Twits	31.08.2026 7:04:00	
Возможно	У маркетплейса М.Видео по итогам июля число новых продавцов выросло на 59,2% м/м — селлеры начали активнее диверсифицировать свои продажи на маркетплейсах после атак на склады Wildberries и Ozon — Ъ #OZON #MVID #YDEX Читать далее 👉 https://smartlab.news/i/202403 мы в max	31.08.2026	7:04	Смарт Лаб	31.08.2026 7:04:00	
Не важно	❗️🇨🇳#экономика #китай #отчетность КНР (авг) Composite PMI = 49.3 (ранее 50.6) Services PMI = 49 (ранее 49) Manufacturing PMI = 49.8 (ранее 49.2) ⚠️активность в экономике КНР продолжает снижаться	31.08.2026	7:06	Market Twits	31.08.2026 7:06:00	
Важно	❗️🇷🇺#SBER #дивиденд СБЕР В НОЯБРЕ НА ДНЕ ИНВЕСТОРА ПРЕДСТАВИТ НОВУЮ СТРАТЕГИЮ НА 3 ГОДА И ОПРЕДЕЛИТСЯ С ДИВИДЕНДНОЙ ПОЛИТИКОЙ Сбер хотел бы и в будущем поддерживать планку дивидендных выплат в размере 50% от прибыли — интервью ТАСС в преддверии ВЭФ	31.08.2026	7:08	Market Twits	31.08.2026 7:08:00	
Не важно	⚠️🇩🇪#германия #геополитика #нато Мерц в интервью телеканалу ARD заявил, что расходы на оборону имеют больший приоритет, чем траты государства на выплату родительских пособий, а сложившаяся ситуация в сфере безопасности требует пересмотра бюджетных приоритетов в пользу укрепления обороноспособности страны.	31.08.2026	7:14	Market Twits	31.08.2026 7:14:00	
Возможно	Сбербанк хотел бы и дальше направлять на дивиденды 50% прибыли. Ориентиры по дивидендной политике банк представит в ноябре на Дне инвестора вместе с новой стратегией — финдир банка Тарас Скворцов #SBER Читать далее 👉 https://smartlab.news/i/202404 мы в max	31.08.2026	7:16	Смарт Лаб	31.08.2026 7:16:00	
Важно	⚠️🇪🇺#нато #арктика #геополитика НАТО хочет превратить Арктику в фронт противостояния против РФ — Лавров в колонке для РИА	31.08.2026	7:20	Market Twits	31.08.2026 7:20:00	
Возможно	💥🇷🇺#MVID У маркетплейса «М.Видео» по итогам июля число новых продавцов выросло на 59,2% по сравнению с июнем, а трафик — в 2,5 раза. Онлайн-продавцы ищут альтернативу Ozon и Wildberries — Ъ	31.08.2026	7:26	Market Twits	31.08.2026 7:26:00	
Возможно	На фоне ударов БПЛА по логистическим объектам Ozon и Wildberries инвесторы начали распродавать паи связанных со складами ЗПИФов недвижимости — Ведомости #OZON Читать далее 👉 https://smartlab.news/i/202405 мы в max	31.08.2026	7:27	Смарт Лаб	31.08.2026 7:27:00	
Возможно	⚠️🇷🇺#OZON #пифы Удары по Ozon и Wildberries спровоцировали распродажу связанных с ними ЗПИФов — Ведомости ЗПИФы «Парус-ОЗН» и «Парус-НиНо» подешевели в августе в среднем на 15%	31.08.2026	7:32	Market Twits	31.08.2026 7:32:00	
Возможно	❗️🌎#шос #событие Юбилейный саммит ШОС пройдет в Кыргызстане. Ожидается приезд представителей 21 государства. Основное заседание пройдет в Бишкеке 1 сентября, а мероприятия высокого уровня запланированы на 31 августа — 1 сентября.	31.08.2026	7:35	Market Twits	31.08.2026 7:35:00	
Возможно	Т-Банк разместит среди рыночных инвесторов ипотечные облигации почти на ₽12,75 млрд — Ъ Читать далее 👉 https://smartlab.news/i/202406 мы в max	31.08.2026	7:38	Смарт Лаб	31.08.2026 7:38:00	
Возможно	❗️🇷🇺#вэф #россия #событие Восточный экономический форум (ВЭФ) пройдет с 1 по 4 сентября во Владивостоке. В этом году на форум приедут более 5 тысяч участников примерно из 70 стран. Пленарное заседание с участием Путина запланировано на 3 сентября.	31.08.2026	7:39	Market Twits	31.08.2026 7:39:00	
