Надо брать,Текст сообщения,Дата,Время,Канал,Тайминг,Проверка,Причина ошибки
Возможно,"❗️🇷🇺#акции #россия НОВАК НАЗВАЛ ОТДЕЛЬНОЙ ЗАДАЧЕЙ ПРИВЛЕЧЕНИЕ ДОПОЛНИТЕЛЬНЫХ ИНВЕСТИЦИЙ НА ФОНДОВЫЙ РЫНОК - ТАСС ПРАВИТЕЛЬСТВО РФ СОЗДАЕТ УСЛОВИЯ, ЧТОБЫ РОССИЯНЕ БЫЛИ ЗАИНТЕРЕСОВАНЫ ВКЛАДЫВАТЬ СРЕДСТВА В ФОНДОВЫЙ РЫНОК - НОВАК",19.08.2026,15:38,MarketTwits,19.08.2026 15:38:30,Ок,Ошибки нет
Важно,"Корреспондент CNN Фредерик Пляйтген: Трамп хорошо относится к Путину, между администрациями США и России есть контакт",19.08.2026,16:35,MarketTwits,19.08.2026 16:35:19,ок,Ошибки нет
Возможно,❗️🇷🇺#GMKN #дивиденд 25 августа - Норникель - сд по дивидендам 1п 2026г,19.08.2026,17:01,MarketTwits,19.08.2026 17:01:02,Важно,Потому что это касается выплаты дивидендов
Возможно,⬆️☁️#хлопок хлопок улетает последний шанс купить футболку и трусы по приемлемой цене,19.08.2026,17:07,MarketTwits,19.08.2026 17:07:00,Не важно,Потому что это новости о товрном рынке
Возможно,"⬆️🌽#кукуруза Кукуруза = новый макс за 3 мес в Европе засуха, в Черном море бои",19.08.2026,17:29,MarketTwits,19.08.2026 17:29:00,Не важно,Потому что это новости о товрном рынке
Важно,"⚠️🇺🇦#украина #геополитика #прогноз ТАСС: Мединский ответил ""время покажет"" на вопрос о возобновлениb переговоров в Стамбуле",19.08.2026,17:37,MarketTwits,19.08.2026 17:37:33,ок,Ошибки нет
Возможно,"❗️🛢🇷🇺#бензин #россия РОССИЯ НАЧАЛА ИМПОРТИРОВАТЬ ТОПЛИВО КАБМИН РАССЧИТЫВАЕТ, ЧТО РЯД НПЗ ВЫЙДЕТ ИЗ РЕМОНТОВ В БЛИЖАЙШЕЕ ВРЕМЯ - НОВАК",19.08.2026,18:08,MarketTwits,19.08.2026 18:08:37,Ок,Ошибки нет
Возможно,"🛢#нефть #прогноз Трамп пообещал падение цен на нефть после того, как конфликт с Ираном закончится",19.08.2026,18:33,MarketTwits,19.08.2026 18:33:36,Не важно,Потому что пустая болтовня Трампа
Возможно,❗️ВПЕРЕДИ 🇷🇺РФ - потребинфляция CPI - 19:00мск,19.08.2026,18:51,MarketTwits,19.08.2026 18:51:44,Не важно,Потому что просто указание того что в 19:00 данные по инфляции
Важно,🇷🇺#BTBR #отчетность 25 августа - B2B-РТС - МСФО 1п 2026г,19.08.2026,18:55,MarketTwits,19.08.2026 18:55:06,ок,Ошибки нет
Возможно,"❗️🇷🇺#инфляция #россия #отчетность ДЕФЛЯЦИЯ В РФ С 11 ПО 17 АВГУСТА СОСТАВИЛА 0,02%, С НАЧАЛА ГОДА ПОТРЕБИТЕЛЬСКИЕ ЦЕНЫ ВЫРОСЛИ НА 4,67% - РОССТАТ ГОДОВАЯ ИНФЛЯЦИЯ В РФ НА 17 АВГУСТА ВЫРОСЛА ДО 6,09% С 6,06% НА 10 АВГУСТА — РАСЧЕТЫ ГОДОВАЯ ИНФЛЯЦИЯ В РОССИИ С 11 ПО 17 АВГУСТА ЗАФИКСИРОВАНА НА УРОВНЕ 6,13% -- МИНЭКОНОМРАЗВИТИЯ ❗️дефляция уже три недели подряд",19.08.2026,19:00,MarketTwits,19.08.2026 19:00:09,Важно,Потому что это касается фактической публикации данных по инфляции
Возможно,❗️ВПЕРЕДИ 🇺🇸минутки с прошлого заседания FOMC - 21:00мск,19.08.2026,20:50,MarketTwits,19.08.2026 20:50:52,Не важно,Потому что это касается экономики США
Возможно,🌎#markets,20.08.2026,6:55,MarketTwits,20.08.2026 6:55:07,Не важно,Потому что это просто какой-то краткое сообщение которое я не понимаю
Важно,"⚠️🇺🇸🇮🇷#санкции #иран Трамп заявил, что Иран не воспользовался шансом заключить сделку и объявил о начале экономической войны и изоляции Ирана беспрецедентного масштаба. Трамп объявил о начале против Ирана наиболее сокрушительной экономической операции, которая когда-либо проводилась против любой страны. Трамп также заявил, что любая страна, которая будет оказывать какую-либо поддержку Ирану, столкнется с огромными экономическими последствиями.",20.08.2026,7:17,MarketTwits,20.08.2026 7:17:33,ок,Ошибки нет
Важно,⚠️🇺🇦#украина #геополитика Россия не получала запроса от США на визит Уиткоффа и Кушнера — Мария Захарова,20.08.2026,7:19,MarketTwits,20.08.2026 7:19:29,ок,Ошибки нет
Возможно,"🇷🇺🇺🇸#авиа #россия #сша Россия сейчас обсуждает с США возобновление прямого авиасообщения, сообщила Мария Захарова",20.08.2026,7:47,MarketTwits,20.08.2026 7:47:26,Ок,Ошибки нет
Возможно,❗️🇷🇺#инфляция #россия Впервые за год в России зафиксирована третья недельная дефляция подряд,20.08.2026,8:33,MarketTwits,20.08.2026 8:33:02,Важно,"Потому что из-за санкций между россией и США нет прямого авиасообщение, и такой комментарий касается санкции США и войны на Украине"
Возможно,🇷🇺#экономика #россия ПРАЙМ: Концерты Канье Уэста принесут экономике Петербурга до 2 млрд рублей,20.08.2026,8:41,MarketTwits,20.08.2026 8:41:27,Не важно,Новость совершенно не касается фондового рынка России это новость про концерт Kanye West
Возможно,"⚠️🇷🇺#инфляция #россия Из-за приезда Канье Уэста в Россию в Петербурге взлетели цены на отели и раскупили авиа- и ж/д билеты — Baza В Петербурге из-за концерта Канье Уэста взлетели цены на аренду — ЦИАН Рост цен на жилье в Санкт-Петербурге в дни первых в России концертов американского рэпера Канье Уэста, запланированных на 10 и 11 октября, может составить до 200% — Российская газета",20.08.2026,8:50,MarketTwits,20.08.2026 8:50:04,Не важно,Новость совершенно не касается фондового рынка России это новость про концерт Kanye West
Возможно,🛢🇷🇺#бензин #россия Петербургская биржа провела первые продажи импортного бензина,20.08.2026,8:52,MarketTwits,20.08.2026 8:52:52,Ок,Ошибки нет
Возможно,🇷🇺#облигации #россия Объем рыночных размещений облигаций во 2кв 2026г вырос на 15% — Ъ,20.08.2026,9:04,MarketTwits,20.08.2026 9:04:44,Ок,Ошибки нет
Возможно,"❗️🇷🇺#BSPB #дивиденд сегодня - Банк ""Санкт-Петербург - сд по дивидендам 1п 2026г",20.08.2026,9:08,MarketTwits,20.08.2026 9:08:29,Важно,Потому что это касается дивидендных выплат
Важно,⚠️🇮🇷🇺🇦#геополитика #иран #украина Иран призвал Украину выплатить компенсацию за атаку беспилотника на иранское судно,20.08.2026,9:16,MarketTwits,20.08.2026 9:16:36,ок,Ошибки нет
Возможно,"🇷🇺#недвижимость #россия Темпы роста цен на вторичное жилье оказались в 5 раз выше, чем на первичное. По сравнению с июлем прошлого года спрос на первичном рынке жилья в России снизился на 17%, тогда как на вторичном, напротив, увеличился на 45% — Известия",20.08.2026,9:18,MarketTwits,20.08.2026 9:18:46,Не важно,Потому что это просто новость про рост недвижимости в России и не касается конкретной компании на фондовом рынке
Важно,"⚠️🇮🇷🇪🇺#геополитика #иран #нато #европа НАТО заявило, что будет защищать ЕС и Болгарию после сообщения FT о том, что Иран нанесёт удар по аэропорту в Софии, Болгария, если Трамп пойдёт на дальнейшую эскалацию войны.",20.08.2026,9:21,MarketTwits,20.08.2026 9:21:50,ок,Ошибки нет
Возможно,"⬆️🇷🇺#зерно #россия #пшеница #кукуруза С 19 августа в России резко выросла экспортная пошлина на зерно: на вывоз пшеницы — в 2,2 раза, кукурузы — в 2,7 — Известия",20.08.2026,9:25,MarketTwits,20.08.2026 9:25:07,Не важно,Потому что это касается просто каких-то пошлин на пшеницу и не касается какой-то конкретной компании на фондовом рынке
Важно,"🇷🇺#LEAS #отчетность Европлан объявляет финансовые результаты по МСФО за первое полугодие 2026 года - Чистая прибыль составила 4,3 млрд руб. (+129% г/г) отчет",20.08.2026,9:31,MarketTwits,20.08.2026 9:31:18,ок,Ошибки нет
Важно,🇺🇦#выборы #украина Обращение Федорова стало началом его предвыборной кампании — BBG ——————————— ранее уволенный Зеленским бывший министр обороны Украины Федоров заявил о кризисе управления в стране и выступил за проведение выборов,20.08.2026,9:55,MarketTwits,20.08.2026 9:55:46,ок,Ошибки нет
Возможно,🇷🇺#RTKM #роботы «Ростелеком» вступил в Ассоциацию участников рынка робототехники,20.08.2026,10:29,MarketTwits,20.08.2026 10:29:37,Ок,Ошибки нет
Важно,🇷🇺#DATA #отчетность 31 августа - Арендата - МСФО 1п 2026г,20.08.2026,10:32,MarketTwits,20.08.2026 10:32:03,ок,Ошибки нет
Возможно,"🛢🇨🇳🇮🇳🇷🇺#нефть #россия #китай #индия Китай усиливает борьбу с Индией за российскую нефть, активно наращивая импорт на фоне блокады Ормуза — RTRS",20.08.2026,10:35,MarketTwits,20.08.2026 10:35:36,Не важно,Потому что это касается нефти и в взаимоотношений Китая и Индии а не какой-то конкретной компании на фондовом рынке России
Возможно,⬆️🛢#нефть BRENT > $93,20.08.2026,10:36,MarketTwits,20.08.2026 10:36:20,Не важно,Потому что это просто сообщение о росте стоимости нефти на фондовом рынке и не более того
Возможно,"⬆️🇨🇳🇷🇺#торговля #россия #китай Судя по сообщениям СМИ со ссылкой на данные таможни КНР, Китай наращивает импорт всего из России - от СПГ до мяса с мороженным и вином",20.08.2026,10:39,MarketTwits,20.08.2026 10:39:36,Не важно,Потому что это касается просто какого-то импорта и не касается какой-то конкретной компании в России
Не важно,❗️🇷🇺#ZAYM #дивиденд 24 августа - Займер - сд по дивидендам 1п 2026г,20.08.2026,11:45,MarketTwits,20.08.2026 11:45:32,Важно,Потому что это касается дивидентов
Возможно,🇷🇺#ABIO #отчетность Артген биотех увеличил выручку на 41% в 1п 2026г отчет,20.08.2026,12:02,MarketTwits,20.08.2026 12:02:32,Ок,Ошибки нет
Важно,✴️🇷🇺#цфа #биржи #россия #крипто ЦБ РФ включил Петербургскую биржу в реестр операторов ЦФА-платформ,20.08.2026,12:36,MarketTwits,20.08.2026 12:36:23,ок,Ошибки нет
Важно,⚠️🇺🇦#украина #геополитика Точных дат визита Уиткоффа и Кушнера пока нет -- Песков,20.08.2026,13:07,MarketTwits,20.08.2026 13:07:22,ок,Ошибки нет
Важно,"⚠️🇺🇦#украина #геополитика #прогноз В настоящий момент предпосылок к мирному урегулированию украинского конфликта нет, заявил Песков Трамп ранее заявлял, что Уиткоффу и Кушнеру нет смысла прилетать в Москву, пока не появятся причины для визита. Но IMOEX всего этого не помнит и поэтому продолжает каждый день ждать и разочаровываться, объясняют психологи..",20.08.2026,13:30,MarketTwits,20.08.2026 13:30:47,ок,Ошибки нет
Возможно,"🇷🇺#акции #россия ""Зачем падать, если можно расти."" — Buzova Asset Management",20.08.2026,13:47,MarketTwits,20.08.2026 13:47:15,Не важно,Это просто какой-то непонятный месседж это аналитика или ещё от кого
Возможно,⚠️🇷🇺#акции #россия,20.08.2026,13:52,MarketTwits,20.08.2026 13:52:22,Не важно,Потому что это просто два хештега без какого-то сообщения важного
Возможно,💵#трейдинг Теханализ уже совсем не такой как был раньше. Более старому поколению на заметку...,20.08.2026,14:03,MarketTwits,20.08.2026 14:03:03,Не важно,Потому что это просто абстрактный комментарий про фондовый рынок в России тут даже нет упоминаний какой-либо компании или акций ещё чего-то
Важно,⬇️🇷🇺#акции #россия IMOEX ускорил падение - Путин не будет встречаться с Канье Уэстом - приезд Канье Уэста приведет к всплеску инфляции в России bearish,20.08.2026,14:08,MarketTwits,20.08.2026 14:08:30,Не важно,Это сообщение касается концерта Kanye West
Возможно,"🌕#золото #прогноз Morgan прогнозирует рост золота до $5000 в 2027г, но не исключает, что эта отметка будет достигнута уже в этом году",20.08.2026,14:18,MarketTwits,20.08.2026 14:18:43,Не важно,Потому что это новости о товрном рынке
Возможно,❗️🇷🇺#TATN #дивиденд СД ТАТНЕФТЬ: ДИВИДЕНДЫ 1П 2026Г 32.88 РУБ/АКЦ (ОБЫЧКА/ПРЕФ) ВОСА - 23 сентября отсечка - 13 октября,20.08.2026,14:58,MarketTwits,20.08.2026 14:58:00,Важно,Потому что это касается дивидендов
Возможно,"🇷🇺#брокеры Брокер ВТБ автоматизировал пополнение брокерских счетов Клиенты ВТБ Мои Инвестиции теперь могут настроить регулярный перевод денег на брокерский счёт или ИИС. Сумму и периодичность — раз в неделю или месяц — достаточно выбрать один раз в ВТБ Онлайн. Для Интеллекта и Накопительного резерва деньги после пополнения могут сразу инвестироваться по выбранной стратегии. Управляющий директор департамента брокерского обслуживания ВТБ Александр Казаков отметил: «Регулярное пополнение портфеля небольшими фиксированными суммами — распространенная инвестиционная практика. Она помогает снизить влияние разовых решений о том, когда и сколько инвестировать, и придерживаться выбранной стратегии на долгосрочном горизонте».",20.08.2026,16:05,MarketTwits,20.08.2026 16:05:58,Не важно,Потому что это просто какое-то сообщение о том что какие-то брокеры что-то там разрешили
Возможно,"🇷🇺#MTSS #отчетность КОНСЕНСУС ИФ: Выручка МТС во II кв. выросла на 9,5% - до 213,9 млрд руб., OIBDA - на 12,3% отчет - 25 августа",20.08.2026,16:26,MarketTwits,20.08.2026 16:26:47,Важно,Потому что это касается консенсуса ООО выручки и прогноза о выручки конкретной компании
Возможно,⬆️🌽#кукуруза Биржевая цена на кукурузу достигла максимума с начала 2025 г,20.08.2026,16:55,MarketTwits,20.08.2026 16:55:19,Не важно,Потому что это новости о товрном рынке
Возможно,"🇷🇺#недвижимость #россия Правительство России законодательно прорабатывает возможность рассрочки платежей на покупку новостроек для застройщиков через год после введения в эксплуатацию — Марат Хуснуллин, РИА ————————— Ранее сообщалось, что В России могут принять закон о покупке новостроек в рассрочку. Минстрой РФ подготовил проект.",20.08.2026,17:02,MarketTwits,20.08.2026 17:02:21,Не важно,Потому что это касается просто какой-то абстрактный активности правительства России которая никак не влияет на конкретную компанию
Важно,🇷🇺#акции #россия #нерезы ЦБ РФ просит брокеров информировать клиентов о сделках по обмену заблокированных активов адресно — релиз,20.08.2026,17:19,MarketTwits,20.08.2026 17:19:05,ок,Ошибки нет
